School,white,black,hispanic,asian,aian,nhpi,tom,ntr,unk,men,women,highest_degree,ownership,region
Arkansas College of Barbering and Hair Design,0.0488,0.9268,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.8171,0.1829,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arthur's Beauty College,0.75,0.125,0.0938,0.0,0.0,0.0,0.0,0.0,0.0313,0.0625,0.9375,1,3,5
Arkansas State University-Newport,0.688,0.1956,0.0503,0.0028,0.0055,0.0,0.0158,0.0014,0.0406,0.3678,0.6322,2,1,5
Arkansas State University-Newport,0.688,0.1956,0.0503,0.0028,0.0055,0.0,0.0158,0.0014,0.0406,0.3678,0.6322,2,1,5
Arkansas State University-Newport,0.688,0.1956,0.0503,0.0028,0.0055,0.0,0.0158,0.0014,0.0406,0.3678,0.6322,2,1,5
Arkansas State University-Newport,0.688,0.1956,0.0503,0.0028,0.0055,0.0,0.0158,0.0014,0.0406,0.3678,0.6322,2,1,5
Arkansas State University-Newport,0.688,0.1956,0.0503,0.0028,0.0055,0.0,0.0158,0.0014,0.0406,0.3678,0.6322,2,1,5
Arkansas State University-Newport,0.688,0.1956,0.0503,0.0028,0.0055,0.0,0.0158,0.0014,0.0406,0.3678,0.6322,2,1,5
University of Arkansas at Pine Bluff,0.0287,0.9023,0.0231,0.0039,0.0039,0.0009,0.0197,0.0137,0.0039,0.4068,0.5932,4,1,5
Arkansas State University-Beebe,0.8166,0.0739,0.052000000000000005,0.008,0.008,0.0021,0.0262,0.0013,0.0118,0.3621,0.6379,2,1,5
Arkansas Tech University,0.7438,0.0786,0.0787,0.0134,0.0059,0.0011,0.0454,0.0332,0.0,0.4528,0.5472,4,1,5
University of Arkansas at Monticello,0.5991,0.2832,0.0336,0.0028,0.0014,0.0,0.0704,0.0076,0.0019,0.4303,0.5697,4,1,5
Baptist Health College Little Rock,0.6672,0.2597,0.0406,0.0114,0.0016,0.0016,0.0097,0.0016,0.0065,0.1201,0.8799,2,2,5
Black River Technical College,0.9212,0.0268,0.0251,0.0043,0.0035,0.0026,0.0165,0.0,0.0,0.3385,0.6615,2,1,5
University of Central Arkansas,0.6645,0.162,0.0582,0.0224,0.0057,0.0007,0.0427,0.0417,0.0021,0.391,0.609,4,1,5
Central Baptist College,0.6867,0.155,0.0567,0.005,0.02,0.0017,0.03,0.0267,0.0183,0.53,0.47,3,2,5
Cossatot Community College of the University of Arkansas,0.5342,0.1307,0.2758,0.0031,0.0082,0.0,0.048,0.0,0.0,0.3146,0.6854,2,1,5
Crowley's Ridge College,0.821,0.1358,0.0123,0.0123,0.0,0.0,0.0,0.0,0.0185,0.5556,0.4444,3,2,5
East Arkansas Community College,0.481,0.4684,0.019,0.0076,0.0025,0.0,0.0152,0.0063,0.0,0.3696,0.6304,2,1,5
Eastern College of Health Vocations-Little Rock,0.1875,0.7778,0.0347,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.9444,1,3,5
Paul Mitchell the School-Little Rock,0.5933,0.2869,0.0752,0.0056,0.0111,0.0028,0.0056,0.0,0.0195,0.0585,0.9415,1,3,5
National Park College,0.7311,0.1342,0.0941,0.0117,0.0147,0.0,0.0,0.0,0.0142,0.3787,0.6213,2,1,5
University of Arkansas Community College-Batesville,0.8078,0.0326,0.0861,0.0105,0.0042,0.0,0.0588,0.0,0.0,0.313,0.687,2,1,5
Harding University,0.809,0.0472,0.0384,0.0088,0.0027,0.0016,0.0331,0.0584,0.0008,0.4556,0.5444,4,2,5
Henderson State University,0.6405,0.1997,0.059,0.0111,0.0037,0.0074,0.06,0.0101,0.0084,0.4293,0.5707,4,1,5
Hendrix College,0.6078,0.0697,0.0661,0.0317,0.0,0.0,0.0335,0.0172,0.1739,0.4783,0.5217,4,2,5
Hot Springs Beauty College,0.7544,0.1053,0.0526,0.0175,0.0175,0.0,0.0526,0.0,0.0,0.0526,0.9474,1,3,5
Jefferson Regional Medical Center School of Nursing,0.75,0.1964,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0357,0.9643,2,2,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,5
John Brown University,0.7374,0.0166,0.0781,0.0124,0.0124,0.0014,0.0504,0.0684,0.0228,0.3974,0.6026,4,2,5
